Village_List,Vilage_List_Description,Cell_List,Cell_List_Description,Sector_List,Sector_List_Description,District_List,District_List_Description,Province_List,Province_List_Description
OL01000001,Gihanga,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000003,Iterambere,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000005,Izuba,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000007,Nyaburanga,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000009,Nyenyeri,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000011,Ubukorikori,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000013,Ubumwe,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000015,Ubwiyunge,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000017,Umucyo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000019,Umurabyo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000021,Umuseke,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000023,Vugizo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000025,Akinyambo,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000027,Amayaga,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000029,Gitwa,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000031,Ituze,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000033,Mpazi,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000035,Amahoro,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000037,Impuhwe,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000039,Intsinzi,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000041,Kivumu,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000043,Ubumwe,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000045,Urukundo,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000047,Ururembo,OL02000015,Gacyamo,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000049,Ingenzi,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000051,Sangwa,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000053,Umubano,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000055,Umucyo,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000057,Umuhoza,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000059,Umurava,OL02000020,Kigarama,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000061,Akabugenewe,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000063,Ihuriro,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000065,Isangano,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000067,Isano,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000069,Karitasi,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000071,Ubumanzi,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000073,Uburezi,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000075,Ubwiza,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000077,Umucyo,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000079,Umwembe,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000081,Urugano,OL02000025,Kinyange,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000083,Isangano,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000085,Kanunga,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000087,Kinyambo,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000089,Kivumu,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000091,Kora,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000093,Mpazi,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000095,Rugano,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000097,Rugari,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000099,Ubumwe,OL02000030,Kora,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000101,Bwimo,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000103,Gatare,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000105,Mubuga,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000107,Nyakirambi,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000109,Nyamweru,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000111,Ruhengeri,OL02000035,Nyamweru,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000113,Bibungo,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000115,Bwiza ,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000117,Gateko,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000119,Kagasa,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000121,Nyabihu,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000123,Rutagara I,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000125,Rutagara Ii,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000127,Ruyenzi,OL02000040,Nzove,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000129,Kagaramira,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000131,Ngendo,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000133,Nyarurama,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000135,Nyarusange,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000137,Rwakivumu,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000139,Taba,OL02000045,Taba,OL03000010,Kanyinya,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000141,Akirwanda,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000143,Gisenga,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000145,Kadobogo,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000147,Kagarama,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000149,Kibisogi,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000151,Muganza,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000153,Murama,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000155,Rubuye,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000157,Ruhango,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000159,Ryasharangabo,OL02000050,Kigali,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000161,Agakomeye,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000163,Akagugu,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000165,Amahoro,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000167,Amajyambere,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000169,Birambo,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000171,Isangano,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000173,Kanyabami,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000175,Karambo,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000177,Mwendo,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000179,Ruhuha,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000181,Ubuzima,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000183,Umutekano,OL02000055,Mwendo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000185,Gakoni,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000187,Gatare,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000189,Giticyinyoni,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000191,Kadobogo,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000193,Kamenge,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000195,Karama,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000197,Kiruhura,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000199,Nyabikoni,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000201,Nyabugogo,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000203,Ruhondo,OL02000060,Nyabugogo,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000205,Misibya,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000207,Nyabitare,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000209,Ruhango,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000211,Ruharabuge,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000213,Ruriba,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000215,Ruzigimbogo,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000217,Ryamakomari,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000219,Tubungo,OL02000065,Ruriba,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000221,Akanyamirambo,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000223,Akinama,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000225,Makaga,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000227,Musimba,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000229,Ruhogo,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000231,Rwesero,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000233,Rweza,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000235,Vuganyana,OL02000070,Rwesero,OL03000015,Kigali,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000237,Buhoro,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000239,Busasamana,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000241,Isimbi,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000243,Ituze,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000245,Karama,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000247,Karwarugabo,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000249,Kigabiro,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000251,Mataba,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000253,Munini,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000255,Ntaraga,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000257,Nunga,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000259,Rurama,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000261,Rutunga,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000263,Tetero,OL02000075,Kamuhoza,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000265,Akamahoro,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000267,Akishinge,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000269,Akishuri,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000271,Amahumbezi,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000273,Inganzo,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000275,Kigarama,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000277,Mpazi,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000279,Mugina,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000281,Ubumwe,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000283,Ubusabane,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000285,Umubano,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000287,Umurinzi,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000289,Uruyange,OL02000080,Katabaro,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000291,Akabeza,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000293,Amahoro,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000295,Birama,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000297,Buhoro,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000299,Bwiza ,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000301,Byimana,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000303,Gakaraza,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000305,Gaseke,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000307,Ihuriro,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000309,Inkurunziza,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000311,Karambi,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000313,Kigina,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000315,Kimisagara ,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000317,Kove,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000319,Muganza,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000321,Nyabugogo,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000323,Nyagakoki,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000325,Nyakabingo ,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000327,Nyamabuye,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000329,Sangwa,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000331,Sano,OL02000085,Kimisagara,OL03000020,Kimisagara,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000333,Kamatamu,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000335,Kankuba,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000337,Karukina,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000339,Musave,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000341,Nyarumanga,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000343,Rugendabari,OL02000090,Kankuba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000345,Ayabatanga,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000347,Kankurimba,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000349,Kavumu,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000351,Mubura,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000353,Murondo,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000355,Nyakabingo,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000357,Nyarubuye,OL02000095,Kavumu,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000359,Burema,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000361,Gahombo,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000363,Kabeza,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000365,Karambi,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000367,Kwisanga,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000369,Mageragere,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000371,Mataba,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000373,Rushubi,OL02000100,Mataba,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000375,Akanakamageragere,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000377,Gatovu,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000379,Nyabitare,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000381,Nyarubande,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000383,Rubungo,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000385,Rwindonyi,OL02000105,Ntungamo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000387,Akabungo,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000389,Akamashinge,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000391,Maya,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000393,Nyarufunzo,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000395,Nyarurama,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000397,Rubete,OL02000110,Nyarufunzo,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000399,Amahoro,OL02000115,Nyarurenzi,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000401,Ayabaramba,OL02000115,Nyarurenzi,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000403,Gikuyu,OL02000115,Nyarurenzi,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000405,Iterambere,OL02000115,Nyarurenzi,OL03000025,Mageregere,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
